timestamp,EMGA_counter,EMGB_counter,Heart_Rate,actividad,paso_actividad,HRI_strategy,GT,tiempo,UserID
1753885718.6468313,3,3,55,1,5,1,1,72.00056481361389,1
1753885718.959797,3,3,55,1,5,1,1,72.31380224227905,1
1753885719.274219,3,3,55,1,5,1,1,72.62711906433105,1
1753885719.5867367,3,3,55,1,5,1,1,72.93810510635376,1
1753885719.898725,3,3,55,1,5,1,1,73.25371599197388,1
1753885720.2144947,3,3,55,1,5,1,1,73.56707978248596,1
1753885720.5260527,3,3,55,1,5,1,1,73.88109517097473,1
1753885720.838034,3,3,55,1,5,1,1,74.19169163703918,1
1753885721.1496553,3,3,55,1,5,1,1,74.50397896766663,1
1753885721.4629679,3,3,55,1,5,1,1,74.81688046455383,1
1753885721.7769074,3,3,56,1,5,1,1,75.11511325836182,1
1753885722.090229,3,3,56,1,5,1,1,75.42950391769409,1
1753885722.4032798,3,3,56,1,5,1,1,75.74188041687012,1
1753885722.7015538,3,3,56,1,5,1,1,76.03967595100403,1
1753885723.029105,3,3,56,1,5,1,1,76.3364086151123,1
1753885723.3278472,3,3,56,1,5,1,1,76.65035390853882,1
1753885723.639747,3,3,56,1,5,1,1,76.95812249183655,1
1753885723.9519746,3,3,56,1,5,1,1,77.25960731506348,1
1753885724.267034,3,3,56,1,5,1,1,77.57287621498108,1
1753885724.580574,3,3,56,1,5,1,1,77.88745188713074,1
1753885724.892728,3,3,56,1,5,1,1,78.20028233528137,1
1753885725.2063186,3,3,56,1,5,1,1,78.51388478279114,1
1753885725.5197816,3,3,56,1,5,1,1,78.82798957824707,1
1753885725.8322582,3,3,56,1,5,1,1,79.14022183418274,1
1753885726.1299145,3,3,56,1,5,1,1,79.4520947933197,1
1753885726.441225,3,3,56,1,5,1,1,79.76471829414368,1
1753885726.7547288,3,3,56,1,5,1,1,80.0767617225647,1
1753885727.0675318,3,3,56,1,5,1,1,80.38951301574707,1
1753885727.38022,3,3,56,1,5,1,1,80.70338010787964,1
1753885727.6926205,3,3,56,1,5,1,1,80.99857091903687,1
1753885728.0060925,3,3,56,1,5,1,1,81.31265592575073,1
1753885728.3191197,3,3,56,1,5,1,1,81.62567687034607,1
1753885728.6305318,3,3,55,1,5,1,1,81.93853378295898,1
1753885728.9439576,3,3,55,1,5,1,1,82.25083065032959,1
1753885729.2561407,3,3,55,1,5,1,1,82.56374049186707,1
1753885729.568487,3,3,55,1,5,1,1,82.87675094604492,1
1753885729.881015,3,3,55,1,5,1,1,83.18782114982605,1
1753885730.191751,3,3,55,1,5,1,1,83.50089049339294,1
1753885730.504259,3,3,55,1,5,1,1,83.81075763702393,1
1753885730.8183198,3,3,55,1,5,1,1,84.12383151054382,1
1753885731.1315353,3,3,55,1,5,1,1,84.43993139266968,1
